,titles,descriptions,links
0,Nederlandse supermarktbaas krijgt Russisch lintje,"Ondanks de gespannen verhouding tussen Nederland en Rusland heeft Vladimir Poetin deze week de Nederlander Jan Dunning de Orde van de Vriendschap toegekend, één van de hoogste onderscheidingen die een buitenlander in Rusland kan krijgen.",https://www.telegraaf.nl/nieuws/1717291258/nederlandse-supermarktbaas-krijgt-russisch-lintje
1,LIVE | Radboud test werking bloeddrukverlager tegen corona,LIVE | Radboud test werking bloeddrukverlager tegen corona,https://www.telegraaf.nl/nieuws/148217432/live-radboud-test-werking-bloeddrukverlager-tegen-corona
2,Twee zendmasten in Amsterdam doelwit van brandstichting,Twee zendmasten in Amsterdam doelwit van brandstichting,https://www.telegraaf.nl/nieuws/424674991/twee-zendmasten-in-amsterdam-doelwit-van-brandstichting
3,"Illegaal pokertoernooi gestopt in Zaandam, 53 man beboet",De politie van Zaanstad heeft in de nacht van vrijdag op zaterdag een illegaal pokertoernooi beëindigd. In een bedrijfspand aan de Penningweg waren 53 personen aanwezig.,https://www.telegraaf.nl/nieuws/1998484651/illegaal-pokertoernooi-gestopt-in-zaandam-53-man-beboet
4,Nog geen eind aan drama Peru: Nederlanders vergeefs naar vliegveld,"Vijf Nederlandse backpackers die de hele zomer opgesloten dreigen te blijven in hun hostels in de Peruaanse Inca-hoofdstad Cusco, komen ondanks inspanningen van de Nederlandse ambassade maar niet weg. Ze zitten al weken muurvast samen met tientallen andere reizigers uit Europa.",https://www.telegraaf.nl/nieuws/2137191727/nog-geen-eind-aan-drama-peru-nederlanders-vergeefs-naar-vliegveld
5,Grote shock voor kandidaten Lego Masters,"Ruim 1,5 miljoen mensen zagen de eerste aflevering van Lego Masters. Ook de uitzending van vanavond wordt spectaculair, vertelt Ruben Nicolai aan Pim Sedee. Verder praat hij over het succes van Quarantaine TV met zijn maatjes van de Lama's maar waar is Jeroen van Koningsbrugge gebleven?",https://www.telegraaf.nl/video/331470860/grote-shock-voor-kandidaten-lego-masters
6,Arrestatieteam lost schoten na ramkraak juwelier Tubbergen,Arrestatieteam lost schoten na ramkraak juwelier Tubbergen,https://www.telegraaf.nl/nieuws/67583274/arrestatieteam-lost-schoten-na-ramkraak-juwelier-tubbergen
7,Grote politie-inzet voor studentenfeestje bij Vindicat,De politie Groningen kreeg in de nacht van vrijdag op zaterdag een melding over een mogelijk ’feestje’ in het pand van studentenvereniging Vindicat aan de Grote Markt.,https://www.telegraaf.nl/nieuws/1342328728/grote-politie-inzet-voor-studentenfeestje-bij-vindicat
8,"’Kom van de bank af, want fit zijn helpt tegen virussen’",Wat kun je doen om sterker te staan als je besmet wordt met het coronavirus? In deze rubriek elke dag adviezen van experts.,https://www.telegraaf.nl/nieuws/1508476543/kom-van-de-bank-af-want-fit-zijn-helpt-tegen-virussen
9,John van den Heuvel sprak zussen kroongetuige: ‘Nog altijd loyaal’,"Misdaadjournalist John van den Heuvel sprak exclusief met de zussen van Nabil B., kroongetuige in het Marengo-proces tegen onder andere Ridouan Taghi. Justitie heeft grote steken laten vallen waardoor hun broer werd vermoord, zeggen zij.",https://www.telegraaf.nl/video/1885869290/john-van-den-heuvel-sprak-zussen-kroongetuige-nog-altijd-loyaal
10,Hier droom je van als voetballer,"Geen voetbal, dus geen nieuwe inzendingen. De komenden weken kunt u genieten van de mooiste doelpunten die de afgelopen seizoenen zijn ingestuurd naar [email protected]",https://www.telegraaf.nl/video/1141774357/hier-droom-je-van-als-voetballer
11,Deskundigen kritisch over RIVM: ’Soms een ivoren toren’,Heeft het RIVM te laat gereageerd op de corona-uitbraak en had er eerder actie moeten worden ondernomen om het virus te beteugelen? Twee maanden na de eerste besmetting maken deskundigen de balans op.,https://www.telegraaf.nl/nieuws/927180975/deskundigen-kritisch-over-rivm-soms-een-ivoren-toren
