,titles,descriptions,links,site_name
0,'Taptoe spelen op de Dam is als penalty's met WK-finale',Het is vaste prik tijdens dodenherdenking: vlak voor de minuten stilte wordt de taptoe gespeeld door een trompettist. Veel blaasmuzikanten spelen dit jaar vanuit hun eigen huis mee. Zo ook muzikant Gerben Klein Willink.,https://www.telegraaf.nl/video/692589724/taptoe-spelen-op-de-dam-is-als-penalty-s-met-wk-finale,www.telegraaf.nl
1,Tweede repatriëringsvlucht uit Marokko donderdag op Schiphol,Tweede repatriëringsvlucht uit Marokko donderdag op Schiphol,https://www.telegraaf.nl/nieuws/1553644514/tweede-repatrieringsvlucht-uit-marokko-donderdag-op-schiphol,www.telegraaf.nl
2,’Naleven coronamaatregelen overwinning op nazi-ideologie’,’Naleven coronamaatregelen overwinning op nazi-ideologie’,https://www.telegraaf.nl/nieuws/955173425/naleven-coronamaatregelen-overwinning-op-nazi-ideologie,www.telegraaf.nl
3,Twaalf jaar cel voor doodslaan partner,De rechtbank in Arnhem heeft maandag een 59-jarige vrouw uit Doornenburg in de Betuwe veroordeeld tot een celstraf van twaalf jaar voor de moord op haar 58-jarige partner. Elisabeth van B. doodde haar vriend vorig jaar januari door hem in zijn slaap met een hamer op zijn hoofd te slaan.,https://www.telegraaf.nl/nieuws/247762317/twaalf-jaar-cel-voor-doodslaan-partner,www.telegraaf.nl
4,RIVM: laagste aantal coronadoden in anderhalve maand,"Het officiële dodental door het coronavirus is gestegen tot 5082. Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) heeft in het afgelopen etmaal 26 sterfgevallen doorgekregen. Het aantal ziekenhuisopnames steeg met 42 naar 11.037. De cijfers zijn niet helemaal actueel, omdat overlijdens en o...",https://www.telegraaf.nl/nieuws/2068095015/rivm-laagste-aantal-coronadoden-in-anderhalve-maand,www.telegraaf.nl
5,Alkmaars archief vindt ’oudste Nederlandse geluidsopname’,Het Regionaal Archief in Alkmaar heeft een kopie van vermoedelijk de oudste bekende Nederlandse geluidsopname gevonden. De opname is op 9 maart 1898 gemaakt door de Alkmaarse chemicus Jan Daniël Boeke. Hij is te horen terwijl hij een reeks klinkers uitspreekt en daarna „Hiep hiep hiep hiep hoera!” r...,https://www.telegraaf.nl/nieuws/1220757236/alkmaars-archief-vindt-oudste-nederlandse-geluidsopname,www.telegraaf.nl
6,Marcouch: ’Feestgangers hadden boete moeten krijgen’,Marcouch: ’Feestgangers hadden boete moeten krijgen’,https://www.telegraaf.nl/nieuws/1104406677/marcouch-feestgangers-hadden-boete-moeten-krijgen,www.telegraaf.nl
7,Moordenaar Nederlandse backpackers mogelijk snel vrij,"De Australiër die ruim twintig jaar geleden brandstichtte in een backpackershotel waarbij twee Nederlanders omkwamen, komt over enkele weken in aanmerking voor vervroegde vrijlating. Dat melden diverse Australische media.",https://www.telegraaf.nl/nieuws/359029579/moordenaar-nederlandse-backpackers-mogelijk-snel-vrij,www.telegraaf.nl
8,Minderjarige in legerkleding aangehouden in bos Lunteren,"De politie heeft maandag een minderjarige jongen aangehouden in het bos bij Lunteren. De jongen zou in legerkleding door het bos hebben gelopen. De politie had groot ingezet, omdat er verontrustende signalen waren binnengekomen over een man in militaire kleding met een vuurwapen.",https://www.telegraaf.nl/nieuws/1491253546/minderjarige-in-legerkleding-aangehouden-in-bos-lunteren,www.telegraaf.nl
9,Hard tegen hard bij rechtszaak tegen Staat om 5G,"Het uitrollen van het nieuwe, snellere 5G-netwerk is gokken met de gezondheid van burgers. Een gok die heel verkeerd kan uitpakken, met ernstige schade voor de volksgezondheid tot gevolg.",https://www.telegraaf.nl/nieuws/985213046/hard-tegen-hard-bij-rechtszaak-tegen-staat-om-5-g,www.telegraaf.nl
10,14-jarige aangehouden op verdenking woningoverval Valkenswaard,Een 14-jarige jongen uit Valkenswaard is zondag thuis aangehouden op verdenking van betrokkenheid bij een woningoverval in zijn woonplaats.,https://www.telegraaf.nl/nieuws/607578770/14-jarige-aangehouden-op-verdenking-woningoverval-valkenswaard,www.telegraaf.nl
11,Jong en oud paraat voor de taptoe,"„Ik had een vriendinnetje dat op 4 mei jarig is. Dan hadden we feest, maar moesten we ook twee minuten stil zijn. Ik besef dus wel wat 4 mei betekent”, zegt de 15-jarige Kiki Severijns uit Venlo. Ook zij speelt maandag op straat de taptoe, nu we allemaal vanwege het coronavirus aan huis zijn gekluis...",https://www.telegraaf.nl/nieuws/22189493/jong-en-oud-paraat-voor-de-taptoe,www.telegraaf.nl
