,titles,descriptions,links
0,'Dat Facebook-bericht over die overleden patiënt heb ik meteen weg geklikt',"De NOS volgt mensen die werken in vitale beroepen tijdens de coronacrisis. Vandaag Rowan Marijnissen, IC-verpleegkundige in het Tilburgse Elisabeth-TweeSteden Ziekenhuis.",https://www.nos.nl/artikel/2330992-dat-facebook-bericht-over-die-overleden-patient-heb-ik-meteen-weg-geklikt.html
1,"RIVM: 110 ziekenhuisopnames, 83 sterfgevallen",Lees hier al het coronanieuws van zondag 19 april.,https://www.nos.nl/liveblog/2330944-rivm-110-ziekenhuisopnames-83-sterfgevallen.html
2,"Datalek in corona-app: namen, e-mailadressen en wachtwoorden op straat",De app is een van de zeven mogelijke corona-apps die in Nederland gebruikt zou worden. ,https://www.nos.nl/artikel/2330975-datalek-in-corona-app-namen-e-mailadressen-en-wachtwoorden-op-straat.html
3,Lachgas gebruikende automobilist aangehouden na achtervolging,De man reed tijdens de achtervolging een politieauto aan en reed daarna weer door. Hij had al een rijverbod.,https://www.nos.nl/artikel/2330971-lachgas-gebruikende-automobilist-aangehouden-na-achtervolging.html
4,"Brand verwoest loods met boten in Aalsmeer, geen gewonden",De brand brak rond een uur vannacht uit. De hele loods is afgebrand. Rond 03.00 uur had de brandweer de vlammen onder controle.,https://www.nos.nl/artikel/2330970-brand-verwoest-loods-met-boten-in-aalsmeer-geen-gewonden.html
5,Waarom veel bedrijven niet willen dat Euro 2020 een nieuwe naam krijgt,In de Rotterdamse haven staan containers vol EK-merchandise klaar met mogelijk een verkeerd logo.,https://www.nos.nl/artikel/2330969-waarom-veel-bedrijven-niet-willen-dat-euro-2020-een-nieuwe-naam-krijgt.html
6,Wekdienst 19/4: online-herdenking Kamp Amersfoort en terug in de tijd met Studio Sport,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330950-wekdienst-19-4-online-herdenking-kamp-amersfoort-en-terug-in-de-tijd-met-studio-sport.html
7,"RIVM-experts: 'We zijn voorbij de eerste hobbel, nu naar rustiger vaarwater'",De NOS sprak met Jaap van Dissel en Jacco Wallinga over de mogelijkheid dat de coronamaatregelen versoepeld worden.,https://www.nos.nl/artikel/2330949-rivm-experts-we-zijn-voorbij-de-eerste-hobbel-nu-naar-rustiger-vaarwater.html
8,Serious Request brengt ruim 3 ton op • Spanje verlengt noodtoestand,Lees hier al het coronanieuws van zaterdag 18 april.,https://www.nos.nl/liveblog/2330854-serious-request-brengt-ruim-3-ton-op-spanje-verlengt-noodtoestand.html
9,"Mondkapjeswinkel in centrum Amsterdam, politie neemt poolshoogte",Wie toezicht moet houden op mondkapjeswinkels is onduidelijk. Overheidsdiensten wijzen naar elkaar.,https://www.nos.nl/artikel/2330938-mondkapjeswinkel-in-centrum-amsterdam-politie-neemt-poolshoogte.html
10,"Overheid presenteert zeven corona-apps, maar nog veel zorgen","De overheid wilde vandaag meer duidelijkheid geven over de zeven verschillende corona-apps die in ontwikkeling zijn, maar er leven nog veel vragen.",https://www.nos.nl/artikel/2330914-overheid-presenteert-zeven-corona-apps-maar-nog-veel-zorgen.html
11,Coronacijfers van 18 april: minste ziekenhuisopnames in maand tijd,Voor het eerst meldt het RIVM dat er ook een overledene onder de 20 is.,https://www.nos.nl/artikel/2330900-coronacijfers-van-18-april-minste-ziekenhuisopnames-in-maand-tijd.html
12,"'Normaal is het druk, maar Zeeland is nu een soort spookprovincie'","De NOS volgt mensen die werken in vitale beroepen tijdens de coronacrisis. Vandaag Thijs Quast, buitengewoon opsporingsambtenaar (boa) in de provincie Zeeland.",https://www.nos.nl/artikel/2330899-normaal-is-het-druk-maar-zeeland-is-nu-een-soort-spookprovincie.html
13,Politie legt beslag op bijna miljoen aan contanten en merkkleding,"Een man uit Rotterdam, een man uit Assen en een man zonder vaste woon- en verblijfplaats zijn aangehouden. ",https://www.nos.nl/artikel/2330877-politie-legt-beslag-op-bijna-miljoen-aan-contanten-en-merkkleding.html
14,"Opnieuw brandstichting bij zendmasten, politie doet oproep aan tankstations",De afgelopen twee weken werd bij zeker 17 zendmasten brand gesticht. Daardoor kan het noodnummer 112 niet goed worden bereikt.,https://www.nos.nl/artikel/2330876-opnieuw-brandstichting-bij-zendmasten-politie-doet-oproep-aan-tankstations.html
15,'Te weinig aandacht voor genocide Srebrenica in geschiedenisonderwijs',"Het geschiedenisonderwijs besteedt te weinig aandacht aan de massamoord in Srebrenica, komende zomer 25 jaar geleden. Dat stelt historicus Marc van Berkel na onderzoek.",https://www.nos.nl/artikel/2330875-te-weinig-aandacht-voor-genocide-srebrenica-in-geschiedenisonderwijs.html
16,"Ramkraak juwelier Tubbergen, politie lost waarschuwingsschoten",Een arrestatieteam heeft uiteindelijk vijf verdachten aanhouden.,https://www.nos.nl/artikel/2330863-ramkraak-juwelier-tubbergen-politie-lost-waarschuwingsschoten.html
17,"Coronavocabulaire: 'Veel eendagsvliegen, maar anderhalvemetersamenleving blijft'",De coronacrisis leidt tot een verrijking van de Nederlandse taal. De afgelopen tijd zijn er heel wat nieuwe woorden bijgekomen. Maar blijven die ook?,https://www.nos.nl/artikel/2330859-coronavocabulaire-veel-eendagsvliegen-maar-anderhalvemetersamenleving-blijft.html
18,Wekdienst 18/4: D66 houdt congres online • Nationale Bijentelling,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330858-wekdienst-18-4-d66-houdt-congres-online-nationale-bijentelling.html
19,Schiphol-topman: op z'n vroegst in 2023 terug op het oude niveau,"Als de luchthaven verder opengaat, is een mogelijke vereiste het screenen van alle passagiers met een 'fit-to-fly-vragenlijst'. Daarover is Schiphol in gesprek met de autoriteiten en luchtvaartmaatschappijen.",https://www.nos.nl/artikel/2330857-schiphol-topman-op-z-n-vroegst-in-2023-terug-op-het-oude-niveau.html
20,Verlopen rijbewijzen langer geldig • IC's in 'rustiger vaarwater' ,Lees hier al het coronanieuws van vrijdag 17 april.,https://www.nos.nl/liveblog/2330735-verlopen-rijbewijzen-langer-geldig-ic-s-in-rustiger-vaarwater.html
21,Hoe bereiken de coronamaatregelen de mensen die geen Nederlands spreken?,Van een coronabus die in twaalf talen info omroept op straat tot een hulplijn in het Arabisch en Tigrinya: er zijn talloze initiatieven om de niet-Nederlandssprekende inwoners te helpen.,https://www.nos.nl/artikel/2330855-hoe-bereiken-de-coronamaatregelen-de-mensen-die-geen-nederlands-spreken.html
22,"Persoon doodgestoken in Den Haag, verdachte aangehouden",Het steekincident was aan de Weimarstraat in het stadsdeel Segbroek. De politie doet onderzoek.,https://www.nos.nl/artikel/2330853-persoon-doodgestoken-in-den-haag-verdachte-aangehouden.html
23,Experts uiten kritiek op procedure voor corona-apps,De experts trekken hun handen af van de zeven voorstellen voor apps die nu geselecteerd zijn door het ministerie.,https://www.nos.nl/artikel/2330845-experts-uiten-kritiek-op-procedure-voor-corona-apps.html
24,Rechtspraak en reclassering maken zich op voor herstart,"De reclassering onderzoekt of 'anderhalvemetertaakstraffen' haalbaar zijn, terwijl ook de rechtbanken 'corona-proof' worden gemaakt.",https://www.nos.nl/artikel/2330840-rechtspraak-en-reclassering-maken-zich-op-voor-herstart.html
