,titles,descriptions,links
14,Lachgasrijder (19) vast voor poging doodslag na inrijden op politieauto,"Een 19-jarige man uit Gennep zit vast op verdenking van poging tot doodslag voor het inrijden op een politieauto op de A73 bij Boxmeer. De man was bovendien onder de invloed van lachgas, zo meldt de politie.",https://www.ad.nl/binnenland/lachgasrijder-19-vast-voor-poging-doodslag-na-inrijden-op-politieauto~ae5bbebc/
15,Arrestatieteam overmeestert bewapende jongeren in bos Noordoostpolder,"In het Kuinderbos bij Kuinre heeft een arrestatieteam vrijdagavond vier twintigers overmeesterd. Het viertal, drie jongemannen en een minderjarig meisje uit de gemeente De Friese Meren, kreeg alvast een boete voor samenscholing zonder de afstandsregel in acht te nemen, meldt de Leeuwarder Courant.",https://www.ad.nl/binnenland/arrestatieteam-overmeestert-bewapende-jongeren-in-bos-noordoostpolder~a3b39103/
16,"Jan Cremer: ‘Ik heb in de goot gelegen, ben verguisd, maar heb ook het allerhoogste bereikt’","Wereldberoemd werd Jan Cremer in 1964. Vooral de spetterende seksscènes in Ik, Jan Cremer zorgden voor grote opschudding. Inmiddels is het 56 jaar later, en de kunstenaar wordt morgen 80. Een gesprek over zijn werk van nu. En een beetje over toen.",https://www.ad.nl/show/jan-cremer-ik-heb-in-de-goot-gelegen-ben-verguisd-maar-heb-ook-het-allerhoogste-bereikt~a2ef8317/
17,Rookoverlast in noorden van Nederland door Duitse natuurbrand,In Drenthe en Groningen kunnen inwoners te maken hebben met rookoverlast. Daarvoor waarschuwt de Meldkamer Noord-Nederland. De rook komt uit Duitsland. Daar is zaterdagmiddag een grote brand uitgebroken in een natuurgebied.,https://www.ad.nl/binnenland/rookoverlast-in-noorden-van-nederland-door-duitse-natuurbrand~ab8135b4/
18,"LIVE | Politie deelt boetes uit in Limburgse Heuvelland, dalende tendens coronadoden in Spanje","Het aantal nieuwe besmettingen en ic-opnames in ons land blijft dalen. Ook het aantal dagelijkse coronadoden lijkt stabiel. De afgelopen 24 uur kwamen er 83 sterfgevallen bij, in totaal zijn er tot nu toe in Nederland 3684 mensen aan de gevolgen van de virusinfectie overleden, onder wie ten minste één tiener. Het ministerie van VWS houdt vandaag voor de tweede dag op rij een zogenoemde appathon om een keuze te maken voor een geschikte corona-app. Aanstaande dinsdag maakt het kabinet bekend of de coronamaatregelen versoepeld kunnen worden na 28 april. Lees het vorige liveblog hier terug.",https://www.ad.nl/binnenland/live-politie-deelt-boetes-uit-in-limburgse-heuvelland-dalende-tendens-coronadoden-in-spanje~af78ff7d/
19,Corona-editie 3FM Serious Request levert meer dan drie ton op voor Rode Kruis,De speciale corona-editie van 3FM Serious Request heeft 307.392 euro opgebracht voor het Rode Kruis. De opbrengst werd vanavond bekendgemaakt na vijf dagen actievoeren waarbij de zender verzoeknummers draaide in ruil voor een donatie aan het Rode Kruis. Aan het einde van de middag stond de tussenstand nog op 243.551 euro.,https://www.ad.nl/show/corona-editie-3fm-serious-request-levert-meer-dan-drie-ton-op-voor-rode-kruis~af0a7b62/
20,Rosenmöller: school tijdens zomer alleen voor kwetsbare groepen,"Paul Rosenmöller is er geen voorstander van de zomervakantie in te korten en in die periode lessen in te halen die leerlingen nu missen vanwege het coronavirus. Die periode kan wel worden gebruikt voor de meest kwetsbare groep, leerlingen met een grote achterstand. Dat zei de voorzitter van de VO-raad, die schoolbesturen in het voortgezet onderwijs vertegenwoordigt, in het televisieprogramma Kassa.",https://www.ad.nl/binnenland/rosenmoller-school-tijdens-zomer-alleen-voor-kwetsbare-groepen~aedbaec9/
21,Ophef na opening mondkapjeswinkel in Amsterdam: ‘Cash only’,"De opening van een mondkapjeswinkel in het centrum van Amsterdam levert veel kritiek op. Bij de winkel kan alleen met contant geld worden betaald, zo staat geschreven op een bord voor het pand. GroenLinks gaat het college van de hoofdstad vragen om na te gaan of er ingegrepen kan worden, zo meldt AT5. Ook op Twitter regent het negatieve reacties over de verdienformule.",https://www.ad.nl/binnenland/ophef-na-opening-mondkapjeswinkel-in-amsterdam-cash-only~a3cc200a/
22,Urenlang in gesprek met een Whatsapp-oplichter: ‘Mijn digitale zoon kreeg steeds meer stress’,Elke week probeert het team van Omdenken ons op een andere manier naar ongemakkelijke situaties in het dagelijks leven te laten kijken.,https://www.ad.nl/binnenland/urenlang-in-gesprek-met-een-whatsapp-oplichter-mijn-digitale-zoon-kreeg-steeds-meer-stress~a08af1585/
23,"Eindelijk een oplossing voor thuiszitter Tobias, die op geen enkele school paste","Een tafel vol professionals, een rugzak vol indicaties en een kind van 8 jaar oud dat niet meer wil leven. Hoe Tobias uit Nederweert een van de vele thuiszittende kinderen werd en hoe een organisatie licht aan de horizon bracht.",https://www.ad.nl/binnenland/eindelijk-een-oplossing-voor-thuiszitter-tobias-die-op-geen-enkele-school-paste~a44d6e3b/
24,Het coronanieuws van zaterdag 18 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,https://www.ad.nl/binnenland/het-coronanieuws-van-zaterdag-18-april-bijlezen-in-een-minuut~ab1dc3e4/
25,"De kinderen van mijn ex willen niets meer met mij te maken hebben, wat te doen?","Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",https://www.ad.nl/binnenland/de-kinderen-van-mijn-ex-willen-niets-meer-met-mij-te-maken-hebben-wat-te-doen~a516d0ef/
26,KLM ziet toch af van verhoging variabel loon topman Elbers,"KLM ziet af van de beoogde verhoging van het variabele loon van topman Pieter Elbers. Tijdens de komende aandeelhoudersvergadering stond op de agenda dat deze langetermijnbeloning omhoog zou gaan van 75 procent naar maximaal 100 procent van Elbers' basissalaris van 525.000. Maar vanwege de onrust die is ontstaan door het voorstel is het punt nu van de agenda geschrapt, meldt KLM.",https://www.ad.nl/economie/klm-ziet-toch-af-van-verhoging-variabel-loon-topman-elbers~a5ec5aee/
27,"Zo ziet Nederland eruit in 2022, volgens zeven deskundigen","Hopelijk zijn we over twee jaar coronavrij. Maar hoe ziet ons leven er dan uit op straat, werk, school en tijdens het uitgaan? We vroegen het aan zeven deskundigen.",https://www.ad.nl/binnenland/zo-ziet-nederland-eruit-in-2022-volgens-zeven-deskundigen~a7225db8/
28,Opgewonden vogelaars: Johnny spot zeldzame havikarend in Zeeland,"Vogelaar Johnny du Burck uit Oostburg wist even niet wat hij zag. Tijdens veldwerk bij Sint-Kruis, in het onderste puntje van Zeeland, spotte hij een havikarend; een roofvogel die in Nederland slechts drie keer eerder is waargenomen.",https://www.ad.nl/binnenland/opgewonden-vogelaars-johnny-spot-zeldzame-havikarend-in-zeeland~a31e203a/
29,Spectaculaire beelden van aanhouding verdachten Tubbergse ramkraak,"Met getrokken wapen staan ze voor de loods, de politiemannen van het arrestatieteam dat vanmorgen een loods aan de Sibculoseweg in Westerhaar-Vriezenveensewijk binnenviel. Daar werden vijf personen gearresteerd die worden verdacht van de ramkraak eerder vandaag bij een juwelier uit Tubbergen.",https://www.ad.nl/binnenland/spectaculaire-beelden-van-aanhouding-verdachten-tubbergse-ramkraak~ada11673/
