,titles,descriptions,links
0,Opnieuw twee zendmasten afgebrand in Brabant,"De afgelopen dagen zijn er meerdere branden geweest bij GSM-masten in Deurne, Nuenen, Rotterdam en Beesd.",https://www.nos.nl/artikel/2330124-opnieuw-twee-zendmasten-afgebrand-in-brabant.html
1,Wekdienst 11/4: Maatregelen tijdens paasweekeinde • Beste Nederlandstalige kinderboek,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330120-wekdienst-11-4-maatregelen-tijdens-paasweekeinde-beste-nederlandstalige-kinderboek.html
2,Coronacrisis leidt wereldwijd tot veel minder criminaliteit,"In Latijns-Amerika is de misdaad zelfs teruggelopen tot de laagste niveau in decennia en ook in de VS, Zuid-Afrika en Australië zijn de effecten duidelijk te merken.",https://www.nos.nl/artikel/2330119-coronacrisis-leidt-wereldwijd-tot-veel-minder-criminaliteit.html
3,Meerderheid IC-patiënten kampt met langdurige fysieke en mentale gevolgen,"Er loopt een grote studie in zeven Nederlandse ziekenhuizen, waarbij duizenden patiënten worden gevolgd.",https://www.nos.nl/artikel/2330118-meerderheid-ic-patienten-kampt-met-langdurige-fysieke-en-mentale-gevolgen.html
4,Drones en bredere winkelpaden: Pasen in de anderhalvemetereconomie,Dit jaar geen gezellig uitje naar het tuincentrum of de woonboulevard. Nederlanders moeten nu doelbewust en in hun eentje op pad.,https://www.nos.nl/artikel/2330117-drones-en-bredere-winkelpaden-pasen-in-de-anderhalvemetereconomie.html
5,'Chaotische taferelen' door Turkse lockdown • Google en Apple bouwen aan 'corona-tracking' ,Lees hier al het coronanieuws van vrijdag 10 april.,https://www.nos.nl/liveblog/2330006-chaotische-taferelen-door-turkse-lockdown-google-en-apple-bouwen-aan-corona-tracking.html
6,Opnieuw brandstichting bij zendmast,Onbekenden probeerden een telefoonmast op een bedrijventerrein in Groningen met benzine in brand te steken.,https://www.nos.nl/artikel/2330111-opnieuw-brandstichting-bij-zendmast.html
7,'Strafzaken mogelijk behandeld in avonden en weekenden',Op dit moment blijven vanwege de coronacrisis per week zo'n 5000 tot 6000 zaken op de plank liggen. Die achterstand moet ingehaald worden.,https://www.nos.nl/artikel/2330110-strafzaken-mogelijk-behandeld-in-avonden-en-weekenden.html
8,Vlinderstichting waarschuwt voor bestrijdingsmiddel eikenprocessierups,"""Dit middel doodt alles wat ermee in aanraking komt"", zegt een woordvoerder van de stichting. Onlangs is een proef op 2500 bomen goedgekeurd door de overheid.",https://www.nos.nl/artikel/2330093-vlinderstichting-waarschuwt-voor-bestrijdingsmiddel-eikenprocessierups.html
9,Onderzoekers Radboudumc: essentieel mechanisme covid-19 blootgelegd,Het inzicht heeft mogelijk belangrijke consequenties voor de behandeling van de ziekte. ,https://www.nos.nl/artikel/2330090-onderzoekers-radboudumc-essentieel-mechanisme-covid-19-blootgelegd.html
10,KNMG adviseert artsen niet te werken zonder bescherming,"Artsen lopen een te groot risico, en daardoor zou de continuïteit van de zorg in gevaar komen. ",https://www.nos.nl/artikel/2330084-knmg-adviseert-artsen-niet-te-werken-zonder-bescherming.html
11,Wat weten we allemaal nog niet over het coronavirus?,Er is nog veel onbekend over het amper vijf maanden oude coronavirus. Een aantal essentiële vraagtekens op een rij.,https://www.nos.nl/artikel/2330079-wat-weten-we-allemaal-nog-niet-over-het-coronavirus.html
12,Google en Apple bouwen 'corona-tracking' in op smartphones,Het wordt makkelijker voor overheden om te onderzoeken met wie coronapatiënten contact hebben gehad. Apple en Google gaan die mogelijkheid inbouwen.,https://www.nos.nl/artikel/2330078-google-en-apple-bouwen-corona-tracking-in-op-smartphones.html
13,"Weinig regen, meer verdamping: droogte leidt in natuur tot brandgevaar","De afgelopen week woedden in Nederland meerdere natuurbranden, vannacht nog op de Veluwe. Hoe zit dat?",https://www.nos.nl/artikel/2330071-weinig-regen-meer-verdamping-droogte-leidt-in-natuur-tot-brandgevaar.html
14,"'Ik hou m’n hart vast, op sommige plekken overlijdt de helft van de bewoners'","De NOS volgt zorgmedewerkers in de frontlinie van de coronacrisis. Vandaag Marije Veenstra, gezondheidszorgpsycholoog in verpleeghuis Gooiers Erf in Hilversum. ",https://www.nos.nl/artikel/2330063-ik-hou-m-n-hart-vast-op-sommige-plekken-overlijdt-de-helft-van-de-bewoners.html
15,Brand bij vier zendmasten: 'Heel sterk vermoeden van brandstichting',"Op een van de zendmasten stond ""Fuck 5G"" geschreven. Er is aangifte gedaan.",https://www.nos.nl/artikel/2330065-brand-bij-vier-zendmasten-heel-sterk-vermoeden-van-brandstichting.html
16,De coronacijfers van 10 april: aantal opnames in noorden blijft laag,"Voor zover bekend zijn in Nederland nu 2511 mensen overleden in verband met covid-19, de ziekte die door het virus wordt veroorzaakt.",https://www.nos.nl/artikel/2330054-de-coronacijfers-van-10-april-aantal-opnames-in-noorden-blijft-laag.html
17,Man (19) opgepakt voor DDoS-aanval op overheidssites,"Door de aanval waren de sites MijnOverheid.nl en Overheid.nl enige tijd niet bereikbaar. Omdat de informatiebehoefte tijdens de coronacrisis extra groot is, neemt de politie dit hoog op.",https://www.nos.nl/artikel/2330050-man-19-opgepakt-voor-ddos-aanval-op-overheidssites.html
