,titles,descriptions,links
0,Brandstichting in twee zendmasten in Amsterdam,"Twee zendmasten op een parkeergarage in Amsterdam-West zijn vanmorgen in brand gestoken. Een van de masten heeft vlam gevat, bij de ander werd alleen een poging gedaan, meldt Het Parool. Het is de zoveelste brand in een zendmast in korte tijd.",https://www.ad.nl/tech/brandstichting-in-twee-zendmasten-in-amsterdam~ad7d76d9/
1,Ik denk niet dat ze op ic’s zitten te wachten op duizenden werkeloze kunstenaars,Saskia Noort schrijft op deze plek wekelijks over nieuws dat haar raakt. Deze week reageert de columniste op de kritiek die de culturele sector ontving na de roep om hulp. Kunst helpt ons óók in deze tijd.,https://www.ad.nl/nlblijftthuis/ik-denk-niet-dat-ze-op-ic-s-zitten-te-wachten-op-duizenden-werkeloze-kunstenaars~a7b7c0ad/
2,"Rob Jetten mist zijn vriend, maar koestert de buurvrouw: ‘Het is best pittig’","Zowat heel groen, cultureel en studerend Nederland heeft in de coronacrisis zijn hoop gevestigd op D66-fractieleider Rob Jetten. Vandaag, op het digitale partijcongres, stelt hij zijn achterban gerust. Als er meer nodig is, komt er meer. ,,Alleen voor aardappels en cultuur is er een aparte regeling gekomen. Dat is toch een signaal.”",https://www.ad.nl/politiek/rob-jetten-mist-zijn-vriend-maar-koestert-de-buurvrouw-het-is-best-pittig~a347b922/
3,"Ramkraak juwelier Tubbergen: politie lost waarschuwingsschoten, vijf verdachten vast","Een juwelierszaak in Tubbergen is vanmorgen in alle vroegte het slachtoffer geworden van een ramkraak. Overvallers reden omstreeks vijf uur met een auto in op de winkelpui, meldt De Twentsche Courant Tubantia.",https://www.ad.nl/binnenland/ramkraak-juwelier-tubbergen-politie-lost-waarschuwingsschoten-vijf-verdachten-vast~a1d28b4b/
4,"Zeven corona-apps in de race, privacy-experts kritisch: ‘Dit is een janboel’","Na een ongekende spoedprocedure zijn er nog zeven kanshebbers om de Nederlandse corona-app te ontwikkelen. Dit weekeinde worden de inzendingen getoetst door het publiek. De privacywaakhond Autoriteit Persoonsgegevens en Kamerleden nemen de plannen later onder de loep. Kenners zijn kritisch: ,,Er is te veel haast’.",https://www.ad.nl/tech/zeven-corona-apps-in-de-race-privacy-experts-kritisch-dit-is-een-janboel~a8e169fd/
5,Rutte blijft volhouden dat mondmaskers niet helpen: buitenlandse experts zijn toch niet gek?,Özcan Akyol schrijft drie keer per week over wat hem bezighoudt.,https://www.ad.nl/binnenland/rutte-blijft-volhouden-dat-mondmaskers-niet-helpen-buitenlandse-experts-zijn-toch-niet-gek~ad80c386/
6,Burgemeester Sjors Fröhlich: ‘Mijn vrouw moest heel hard lachen toen ik solliciteerde’,"Een neurologische spierziekte maakte in 2007 een eind aan zijn carrière als radiomaker. Vijf maanden geleden werd Sjors Fröhlich (52) beëdigd als burgemeester. ,,Ik ben nooit erg onder de indruk van officiële poeha, maar hiervan raakte ik toch geëmotioneerd.’’",https://www.ad.nl/binnenland/burgemeester-sjors-frohlich-mijn-vrouw-moest-heel-hard-lachen-toen-ik-solliciteerde~a973f9ff/
7,Mogelijk minder zieken naar ic door medicijn tegen hoge bloeddruk,Door coronapatiënten te behandelen met het hogebloeddrukmedicijn Valsartan kunnen mogelijk veel ic-opnames en daarmee sterfgevallen bespaard worden. Nederlandse specialisten starten een groot onderzoek waaraan zeshonderdvijftig patiënten in zo’n vijftien ziekenhuizen meedoen.,https://www.ad.nl/binnenland/mogelijk-minder-zieken-naar-ic-door-medicijn-tegen-hoge-bloeddruk~a82710f8/
8,"Zijn modellen bepalen het coronabeleid (en ons humeur): ‘Zomaar de scholen open doen, kan niet’","Jacco Wallinga is de rekenmeester van het RIVM. Zijn virusmodel geldt wereldwijd als gouden standaard en is leidend voor de Nederlandse regering. ‘Als je nu verslapt, komt het net zo hard terug’.",https://www.ad.nl/binnenland/zijn-modellen-bepalen-het-coronabeleid-en-ons-humeur-zomaar-de-scholen-open-doen-kan-niet~a0e3a237/
9,‘Ouderen financieel extra kwetsbaar door coronacrisis’,"Ouderen zijn ook in financieel opzicht extra kwetsbaar als gevolg van de coronacrisis. Omdat zij minder goed mee kunnen komen in de digitale wereld, lopen zij relatief veel risico om slachtoffer te worden van oplichters die hen met babbeltrucs geld af willen troggelen. Daarvoor waarschuwen ABN AMRO en ouderenbond ANBO.",https://www.ad.nl/binnenland/ouderen-financieel-extra-kwetsbaar-door-coronacrisis~a003685c/
