,titles,descriptions,links
0,LIVE | Volg hier de laatste ontwikkelingen op de ic’s,"Het aantal coronapatiënten op de intensive care is de laatste dagen stabiel. We bevinden ons op een plateau, concludeerde Ernst Kuipers van het Landelijk Netwerk Acute Zorg dan ook.",https://www.telegraaf.nl/nieuws/831205020/live-volg-hier-de-laatste-ontwikkelingen-op-de-ic-s
1,Burgemeesters: verbied evenementen tot 1 september,Burgemeesters: verbied evenementen tot 1 september,https://www.telegraaf.nl/nieuws/1596365941/burgemeesters-verbied-evenementen-tot-1-september
2,Eigen bijdrage kinderopvang in de zomer vergoed,Eigen bijdrage kinderopvang in de zomer vergoed,https://www.telegraaf.nl/nieuws/119303376/eigen-bijdrage-kinderopvang-in-de-zomer-vergoed
3,Boet het coronavirus aan kracht in?,Verschillende landen in Europa melden een daling van het aantal mensen dat het coronavirus oploopt door iemand die ermee besmet is: de r-waarde gaat naar beneden.,https://www.telegraaf.nl/nieuws/1409991673/boet-het-coronavirus-aan-kracht-in
4,LIVE | Duitse deelstaat Saksen verplicht mond- en neusbedekking,"Wereldwijd zijn zo’n 144.000 mensen overleden aan de gevolgen van het uit China overgewaaide coronavirus, al ligt het werkelijke aantal hoger. Het dodental is in een periode van twee weken ruim verdubbeld. Meer dan 2 miljoen mensen zijn besmet. Dat meldt de Johns Hopkins University. Volg de laatste ...",https://www.telegraaf.nl/nieuws/1567479106/live-duitse-deelstaat-saksen-verplicht-mond-en-neusbedekking
5,Basisopleiding politie ingekort,"De basisopleiding van de politie gaat van drie naar twee jaar. Zo kunnen nieuwe agenten, die meer in de praktijk gaan leren, sneller bij het korps aansluiten. Er komt ook extra ruimte voor vroegpensioen voor agenten.",https://www.telegraaf.nl/nieuws/682493511/basisopleiding-politie-ingekort
6,Blok: nog 9000 vakantiegangers in het buitenland,Blok: nog 9000 vakantiegangers in het buitenland,https://www.telegraaf.nl/nieuws/1444727088/blok-nog-9000-vakantiegangers-in-het-buitenland
7,Spreekuur: wanneer kunnen we wel naar de tandarts?,"In Spreekuur beantwoordt een specialist elke week algemene vragen van lezers over het coronavirus. Deze week: ’Ik heb een afspraak bij de tandarts staan vanwege een verloren vulling, maar die is verzet vanwege corona. Maar wat als ik nou heel erge pijn krijg?’",https://www.telegraaf.nl/lifestyle/1791046817/spreekuur-wanneer-kunnen-we-wel-naar-de-tandarts
8,Levensgevaarlijk: busje verliest toilet op snelweg,Automobilisten moeten razendsnel handelen als op de A9 plotseling een mobiel toilet op de snelweg valt.,https://www.telegraaf.nl/video/269597797/levensgevaarlijk-busje-verliest-toilet-op-snelweg
9,Steun collega’s onmisbaar bij verwerken trauma’s,"Artsen en verpleegkundigen op de IC die onder hun ogen mensen zien sterven, of medewerkers van verzorgingstehuizen die onbewust een kwetsbaar persoon besmetten. Hoe ga je als zorgprofessional om met een traumatische ervaring? Toen Huub Buijssen begin dit jaar de laatste hand legde aan zijn 43e boek,...",https://www.telegraaf.nl/lifestyle/1949708534/steun-collega-s-onmisbaar-bij-verwerken-trauma-s
10,Kinderkamer en seksattributen bij pedoverdachte Hengelo ontdekt,"Bij een inval begin dit jaar in de woning van een 32-jarige van pedofiele activiteiten verdachte Hengeloër werd niet alleen een compleet ingerichte kinderkamer ontdekt, maar werden ook tal van seksattributen, kinderkleding en -speelgoed aangetroffen.",https://www.telegraaf.nl/nieuws/1525829778/kinderkamer-en-seksattributen-bij-pedoverdachte-hengelo-ontdekt
11,RIVM: aantal coronadoden stijgt met 144 naar 3459,Het aantal Nederlandse doden door het coronavirus is opgelopen tot zeker 3459. Van deze mensen staat vast dat ze waren besmet met het virus. Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) heeft in het afgelopen etmaal 144 nieuwe meldingen over sterfgevallen gekregen van de GGD’en. Het werk...,https://www.telegraaf.nl/nieuws/1772670157/rivm-aantal-coronadoden-stijgt-met-144-naar-3459
