,titles,descriptions,links,site_name
0,"
                Na weken van droogte eindelijk regen in aantocht
                            ",Koningsdag nog lekker,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5103236/na-weken-van-droogte-regen-buien-aantocht-koningsdag-droog,www.rtlnieuws.nl
1,"
                Dales is klaar met geruzie bij 50PLUS en stapt op
                            ",Vertrouwen was opgezegd,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5103211/geert-dales-stapt-op-als-voorzitter-50plus-ook-rest-van-bestuur,www.rtlnieuws.nl
2,"
                Daar is-ie dan: Het Woningslied﻿
                            ",Woningsdag,https://www.rtlnieuws.nl/editienl/artikel/5103196/koningsdag-woningslied-koningslied-allard-huib-je-bent-een-koning,www.rtlnieuws.nl
3,"
                Social distancing: maar hoe zit het met latrelaties?
                            ","Corona-update, stel je vraag",https://www.rtlnieuws.nl/nieuws/artikel/5100846/corona-coronavirus-covid19-virus-relatie-partner-afstand-regel-maatregel,www.rtlnieuws.nl
4,"
                RIVM meldt 66 nieuwe coronadoden, laagste aantal deze maand
                            ",Liveblog,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5103136/corona-coronavirus-covid-19-liveblog-rivm-regels-nederland,www.rtlnieuws.nl
5,"
                GroenLinks wil dat grote bedrijven coronahulp terugbetalen
                            ",Lening of gift?,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5103116/groenlinks-grote-bedrijven-coronahulp-terugbetalen-lening-gift,www.rtlnieuws.nl
6,"
                Drukte in de winkelstraten: 'Middelvinger naar de zorg' 
                            ",Blijf (nog steeds) thuis,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5103111/topdrukte-de-winkelstraten-middelvinger-naar-de-zorg,www.rtlnieuws.nl
7,"
                Corona kon Silvana's ouders niet scheiden: 'Het ging heel snel'
                            ",Zondaginterview,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5101086/jan-en-conny-heinrichs-zoetermeer-eerbetoon-coronavirus,www.rtlnieuws.nl
8,"
                Maastricht hoopt op Koningsdag 2021
                            ",Goede hoop,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5102956/maastricht-hoopt-op-koningsdag-2021,www.rtlnieuws.nl
9,"
                Files vol Duitsers bij de grens, maar we kunnen ze niet weigeren
                            ",Drukte,https://www.rtlnieuws.nl/nieuws/video/video/5102936/files-vol-duitsers-bij-de-grens-maar-we-kunnen-ze-niet-weigeren,www.rtlnieuws.nl
10,"
                Ouders gehandicapt kind in de knel door corona
                            ",Zorg ligt stil,https://www.rtlnieuws.nl/nieuws/video/video/5102871/wat-als-je-kind-een-beperking-heeft-ouders-de-knel-door-corona,www.rtlnieuws.nl
11,"
                Zeeuwse brandweer boos over spontaan feestje
                            ",Borrel om lintje,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5102866/brandweer-zeeland-corona-feestje-covid-19-lintje-zierikzee,www.rtlnieuws.nl
