,titles,descriptions,links
0,Illegaal paasvuur bij Onderdendam,Bij het Groningse Onderdendam heeft maandag korte tijd een brand gewoed. Het ging om een illegaal paasvuur.,https://www.telegraaf.nl/nieuws/1784723260/illegaal-paasvuur-bij-onderdendam
1,5G-zendmasten in Almere in brand gestoken,5G-zendmasten in Almere in brand gestoken,https://www.telegraaf.nl/nieuws/1771102506/5-g-zendmasten-in-almere-in-brand-gestoken
2,Politieagent vindt 530 xtc-pillen in puzzeldoos van schoonmoeder,Politieagent vindt 530 xtc-pillen in puzzeldoos van schoonmoeder,https://www.telegraaf.nl/nieuws/990832761/politieagent-vindt-530-xtc-pillen-in-puzzeldoos-van-schoonmoeder
3,Op het dak feestvierende barbecuers op de bon in Rotterdam Charlois,De politie heeft zondagavond 17 feestvierders bekeurd omdat ze op een dak van een woning aan het barbecueën waren.,https://www.telegraaf.nl/nieuws/1311521009/op-het-dak-feestvierende-barbecuers-op-de-bon-in-rotterdam-charlois
4,50Plus probeert opstand te sussen,De top van 50Plus probeert de jongste ruzie in de partij te sussen met een reeks toezeggingen. Een groep provinciale voorzitters heeft eerder aangekondigd het vertrouwen in landelijk partijvoorzitter Geert Dales op te willen zeggen en dreigt met een kort geding.,https://www.telegraaf.nl/nieuws/872775287/50-plus-probeert-opstand-te-sussen
5,‘Tijdpad voor coronavaccin lijkt aanzienlijk versneld’,"In de nieuwste corona-update hoopgevende berichten over een vaccin tegen het coronavirus. Volgens de universiteit van Oxford is de kans groot dat er binnen vijf maanden een werkend vaccin is, een stuk sneller dan tot nu toe werd gedacht. Verslaggever Silvan Schoonhoven heeft de details.",https://www.telegraaf.nl/nieuws/543339713/tijdpad-voor-coronavaccin-lijkt-aanzienlijk-versneld
6,Twaalf Rotterdamse boa’s belaagd na ruzie over coronamaatregelen,Twaalf Rotterdamse boa’s belaagd na ruzie over coronamaatregelen,https://www.telegraaf.nl/nieuws/1879893408/twaalf-rotterdamse-boa-s-belaagd-na-ruzie-over-coronamaatregelen
7,Marcouch sluit winkel die geen coronamaatregelen nam,Burgemeester Ahmed Marcouch van Arnhem heeft maandag de Action in Arnhem-Zuid gesloten. De winkel had onder andere geen maatregelen genomen om personeel en klanten te beschermen tegen het coronavirus.,https://www.telegraaf.nl/nieuws/1390981011/marcouch-sluit-winkel-die-geen-coronamaatregelen-nam
8,’Huisartsen brengen met speciale knop niet-geteste coronasterfgevallen in kaart’,Nederlandse huisartsen gaan vanaf deze week vermoedelijke slachtoffers van het coronavirus registreren. Hierdoor hopen de dokters de oversterfte in Nederland beter in kaart te brengen.,https://www.telegraaf.nl/nieuws/913244502/huisartsen-brengen-met-speciale-knop-niet-geteste-coronasterfgevallen-in-kaart
9,Vier crossende automobilisten aangehouden in beschermd natuurgebied,Vier bestuurders die in hun 4x4 aan het crossen waren door een natuurgebied bij Bergen op Zoom zijn maandag aangehouden. Ze hadden onder meer slagbomen vernield om in het beschermde gebied te komen.,https://www.telegraaf.nl/nieuws/251368977/vier-crossende-automobilisten-aangehouden-in-beschermd-natuurgebied
10,Doorbraak in onderzoek naar dodelijk olifantenvirus,Een doorbraak in het onderzoek naar een dodelijke olifantenziekte. Wetenschappers van de faculteit Diergeneeskunde in Utrecht zijn een stap dichter bij een vaccin tegen het olifantenvirus elephant endotheliotropic herpesvirus (EEHV). Dit herpesvirus is doodsoorzaak nummer één onder jonge Aziatische ...,https://www.telegraaf.nl/nieuws/1700743969/doorbraak-in-onderzoek-naar-dodelijk-olifantenvirus
11,Veiligheidsbaas Bruls: of we dit maanden volhouden durf ik niet te voorspellen,"Hij denkt zelf dat we ons ’nog wel enkele weken’ houden aan de regels om afstand van elkaar te bewaren, om zo verspreiding van het coronavirus te voorkomen. Maar als we nog maanden anderhalve meter van elkaar vandaan moeten blijven, dan zegt Hubert Bruls eerlijk dat hij niet weet hoe dat zal vallen ...",https://www.telegraaf.nl/nieuws/1218547752/veiligheidsbaas-bruls-of-we-dit-maanden-volhouden-durf-ik-niet-te-voorspellen
