,titles,descriptions,links,yogunlasma,harf_uzunlugu,kelime_sayisi
28,Coronacrisis? Bloemist zit op rozen: ‘alle records worden gebroken’,"Nederlanders kopen massaal bloemen en tuinplanten nu zij noodgedwongen binnen zitten. Bloemisten beleven gouden tijden. ,,Afgelopen paasweekeinde zijn alle records gebroken, komende Moederdag wordt zoals nog niet vertoond.”",https://www.ad.nl/economie/coronacrisis-bloemist-zit-op-rozen-alle-records-worden-gebroken~a522bcd0/,0.0,223,28
29,Schooldirecteur Maarten steekt kinderen hart onder de riem met aanstekelijk liedje,"Maarten Tromp (42) uit Amersfoort is directeur van basisschool Ridderspoor in Houten én schrijft kinderliedjes. Die krachten bundelde hij afgelopen week, toen hij een liedje schreef voor de leerlingen van zijn school. ,,Zo proberen we in verbinding te blijven en positieve energie mee te geven, want het kan voor sommigen best akelig en angstig zijn.”",https://www.ad.nl/nlblijftthuis/schooldirecteur-maarten-steekt-kinderen-hart-onder-de-riem-met-aanstekelijk-liedje~ac55c480/,1.0,351,55
0,’Kabinet trekt 70 miljoen extra uit voor onderwijs en strijd tegen misdaad’,Middenin de coronacrisis trekt het kabinet nog 70 miljoen euro uit voor onderwijs en de strijd tegen de georganiseerde misdaad. Maar meer geld is er dit voorjaar niet beschikbaar voor politieke wensen.,https://www.telegraaf.nl/nieuws/51993222/kabinet-trekt-70-miljoen-extra-uit-voor-onderwijs-en-strijd-tegen-misdaad,0.0,201,32
1,’Miljoenenimpuls voor werkdrukvermindering in het onderwijs’,’Miljoenenimpuls voor werkdrukvermindering in het onderwijs’,https://www.telegraaf.nl/nieuws/1086047940/miljoenenimpuls-voor-werkdrukvermindering-in-het-onderwijs,0.0,60,6
2,Notre-Dame laat eindelijk weer van zich horen,Notre-Dame laat eindelijk weer van zich horen,https://www.telegraaf.nl/video/1318922606/notre-dame-laat-eindelijk-weer-van-zich-horen,0.0,45,7
3,"‘Wijnen, wijnen, wijnen om de pijn te verzachten’","Vandaag in de podcast corona-update al het laatste nieuws uit de persconferentie van premier Rutte en minister De Jonge van Volksgezondheid. We hebben het met wielerverslaggever Hans Ruggenberg over de Tour de France, die waarschijnlijk toch doorgaat dit jaar. En welke bekende Nederlander vreest in ...",https://www.telegraaf.nl/nieuws/514957821/wijnen-wijnen-wijnen-om-de-pijn-te-verzachten,0.0,303,46
4,Minister Schouten (Landbouw) trekt knip om ’verloren jaar’ te overleven,"Om te voorkomen dat bedrijven in de sierteeltsector ten onder gaan,  trekt het kabinet 600 miljoen euro uit. De enorme omzetschade bij de oer-Hollandse bollenboeren en bloemenkwekers wordt voor een groot deel gecompenseerd.",https://www.telegraaf.nl/nieuws/500414251/minister-schouten-landbouw-trekt-knip-om-verloren-jaar-te-overleven,0.0,223,33
5,Kabinet trekt 600 miljoen uit voor sierteelt,Om te voorkomen dat bedrijven in de sierteeltsector voor altijd uitgebloeid raken trekt het kabinet 600 miljoen euro uit. De enorme omzetschade bij de oer-Hollandse bollenboeren en bloemenkwekers wordt voor een groot deel gecompenseerd.,https://www.telegraaf.nl/nieuws/2005911457/kabinet-trekt-600-miljoen-uit-voor-sierteelt,0.0,236,34
6,Oranjefan: 'Niet klagen dat Koningsdag niet doorgaat',Oranjefan: 'Niet klagen dat Koningsdag niet doorgaat',https://www.telegraaf.nl/video/1685178823/oranjefan-niet-klagen-dat-koningsdag-niet-doorgaat,0.0,53,7
7,Eikenprocessierups aanpakken: ’Door de jeuk niet meer in de tuin zitten’,De eikenprocessierups staat in de startblokken om het de mens weer lastig te maken. Inwoners van het Brabantse Moergestel binden de strijd met de jeukrups aan door de stammen van eikenbomen te omwikkelen met landbouwplastic en huishoudfolie.,https://www.telegraaf.nl/nieuws/1861535417/eikenprocessierups-aanpakken-door-de-jeuk-niet-meer-in-de-tuin-zitten,0.0,241,37
8,Extra controles tegen dagjesmens in Zuid-Limburgs heuvelland,De Veiligheidsregio Zuid Limburg vermindert het aantal controleposten op toegangswegen naar het Limburgse heuvelland. Maar de regio waarschuwt wel dat komend weekend extra controles worden uitgevoerd bij de toegangswegen tot het heuvelland. Die moeten voorkomen dat het gebied weer volloopt met dagje...,https://www.telegraaf.nl/nieuws/836963545/extra-controles-tegen-dagjesmens-in-zuid-limburgs-heuvelland,0.0,303,42
9,LIVE | Dodental coronavirus in Frankrijk nu boven de 17.000,Wereldwijd zijn ruim 130.000 mensen overleden aan de gevolgen van een besmetting met het coronavirus. Het dodental is in een periode van twee weken ruim verdubbeld. Meer dan 2 miljoen mensen zijn besmet. Dat meldt de Johns Hopkins University. Volg de laatste mondiale ontwikkelingen over het coronavi...,https://www.telegraaf.nl/nieuws/2029892713/live-dodental-coronavirus-in-frankrijk-nu-boven-de-17-000,0.0,303,47
10,'Dit zijn de stappen naar het nieuwe normaal',Het kabinet heeft woensdag opnieuw een persconferentie gegeven over de coronacrisis. Minister Hugo de Jonge noemt drie stappen die we te zetten hebben naar het nieuwe normaal.,https://www.telegraaf.nl/video/966995826/dit-zijn-de-stappen-naar-het-nieuwe-normaal,0.0,175,27
11,Kabinet trekt 300 miljoen euro uit voor cultuursector,"Het kabinet trekt 300 miljoen euro extra uit om de cultuursector te ondersteunen. Dat maakt het ministerie van Onderwijs woensdag bekend. Met het geld worden onder meer subsidies voor instellingen en festivals verhoogd die door het Rijk worden bekostigd, maar ook voor private instellingen en organis...",https://www.telegraaf.nl/nieuws/2006098597/kabinet-trekt-300-miljoen-euro-uit-voor-cultuursector,0.0,303,46
0,BOE gaat oledschermen leveren met ultrasone vingerafdrukscanners,"Schermmaker BOE gaat oledscermen voor smartphones leveren met de ultrasone 3D Sonic-vingerafdrukscanner van Qualcomm. Tot nu toe zat die scanner alleen in modellen van Samsung met schermen van die fabrikant.<img src="" ~r/tweakers/mixed/~4/VQfS4RtGiJ0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165958,0.0,281,35
1,Huawei kondigt Honor 30-telefoons aan,"Huawei-dochtermerk Honor heeft drie telefoons aangekondigd in zijn Honor 30-serie. De telefoons hebben alledrie oledschermen, ondersteuning voor snel laden en een periscopische camera met telelens voor 5x zoom.<img src="" ~r/tweakers/mixed/~4/Qjo6Cv1aXNg"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165954,0.0,284,33
2,Slack laat gebruikers tijd van reminders aanpassen,"Slack heeft in zijn apps en in de webversie een optie toegevoegd om een aangepaste tijd en datum te kiezen voor een herinnering aan een bericht. Tot nu toe waren dat alleen standaardopties, zoals 'morgenochtend negen uur'.<img src="" ~r/tweakers/mixed/~4/txkNybZQelc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165952,0.0,296,42
3,Nederlands ministerie krijgt meer dan 750 voorstellen voor corona-apps,"Het Nederlandse ministerie voor Volksgezondheid heeft 750 voorstellen gekregen van bedrijven om apps te bouwen voor contactonderzoek van coronapatiënten. De deadline om plannen in te dienen verliep eerder deze week.<img src="" ~r/tweakers/mixed/~4/SkRdqKjz2Mw"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165950,0.0,289,35
4,Typenummer in firmware wijst op nieuw Nintendo Switch-model,"Er is in versie 10.0.0 van de firmware voor de Nintendo Switch een typenummer gevonden van nog onaangekondigde Nintendo-hardware. Het lijkt erop dat dit model een tweede scherm aan gaat sturen.<img src="" ~r/tweakers/mixed/~4/LTEoiNgU-vA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165946,0.0,267,36
5,"Apple presenteert 489 euro kostende iPhone SE met 4,7""-lcd","Apple heeft een nieuwe relatief kleine iPhone aangekondigd. De iPhone SE lijkt op de iPhone 8, maar heeft dezelfde A13-soc als de iPhone 11-modellen. Het toestel krijgt een 4,7-lcd en kost 489 euro in een 64GB-uitvoering.<img src="" ~r/tweakers/mixed/~4/eBW94dDd_RU"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165944,0.0,295,41
6,Microsoft Visual Studio 2019 16.5.4,"Microsoft heeft een vierde update voor versie 16.5.0 van Visual Studio 2019 uitgebracht. Deze populaire programmeerontwikkelomgeving beschikt over handige opties om het programmeren in onder andere Visual C++, Visual Basic, C#, F#, Python en R gemakkelijker te maken. De complete lijst met de veranderingen in de 2019-uitgave kun je nalezen in de bijbehorende releasenotes. Hieronder is te vinden welke verbeteringen Microsoft heeft doorgevoerd in deze versie: Fixed In This Release of Visual Studio 2019 version 16.5.4:<img src="" ~r/tweakers/mixed/~4/JBRKOjD-Vio"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51424,0.028571428571428574,594,81
7,Synology DSM 6.2.3 build 25423,"Synology heeft versie 6.2.3 van Disk Station Manager uitgebracht. Synology DSM is de beheersoftware die op diverse nas-producten van het bedrijf draait. De Disk en Rack Stations bieden meer dan alleen extra opslagruimte. Zo kunnen ook back-ups van alle clients op het netwerk worden gemaakt en kunnen bestanden via http, ftp, bittorrent, usenet en emule worden gedownload, zodat bijvoorbeeld energiegulzige pc's 's nachts uit kunnen, terwijl de download gewoon binnenkomt. Verder kunnen via de ingebouwde iTunes-server audio- en videobestanden over het netwerk worden gestreamd, kan met behulp van php en MySQL een dynamische website worden gehost en kan het apparaat als printserver fungeren. Om versie 6.2.3 te kunnen installeren zal minimaal versie 6.0 aanwezig moeten zijn. Verder is het uitsluitend geschikt voor de nas-modellen waarvan het typenummer eindigt op 11 of hoger. Kijk voor de overige voorwaarden en de verschillende downloads op deze pagina. In versie 6.2 zijn weinig veranderingen aangebracht die voor thuisgebruikers belangrijk zijn. Voor de zwaardere modellen en de nassen die in bedrijfsomgevingen worden ingezet zijn er wel de nodige veranderingen en verbeteringen aangebracht. De changelog voor deze uitgave ziet er als volgt uit: Important Note<img src="" ~r/tweakers/mixed/~4/0QfOtMuAIzQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51426,0.2,1343,194
8,"Samsung claimt twee apparaten te voorzien van 4,3Gbit/s-internet via 5g","Samsung claimt dat het met zijn kastje voor 5g twee apparaten tegelijk heeft voorzien van een verbinding met een downlink van 4,3Gbit/s. Dat gebeurde via 5g op mmWave-frequenties. Het is volgens de fabrikant voor het eerst dat zoiets kan.<img src="" ~r/tweakers/mixed/~4/8k3KffSzStc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165942,0.0,312,44
9,Houseparty kreeg afgelopen maand 50 miljoen nieuwe gebruikers,"Videobelapp Houseparty heeft er afgelopen maand ongeveer vijftig miljoen nieuwe gebruikers bijgekregen, aldus de mede-oprichter in een interview. Daarbij gaat het om aantal nieuwe gebruikers die een account hebben aangemaakt.<img src="" ~r/tweakers/mixed/~4/_pX6qKpjTJo"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165940,0.0,299,35
10,Tour de France 2020-game krijgt eerstepersoonsperspectief en komt naar pc,"De officiële Tour de France-game krijgt dit jaar een nieuw cameraperspectief. Ook komt het spel uit voor de pc, ergens na het verschijnen van de consoleversie. Tour de France 2020 wordt ontwikkeld door Cyanide Studios, dat ook Pro Cycling Manager maakt.<img src="" ~r/tweakers/mixed/~4/Tfj6iIWs1II"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165938,0.0,327,46
11,GeForce Game Ready Driver 445.87 WHQL,"Nvidia heeft nieuwe stabiele GeForce-drivers uitgebracht. De drivers dragen versienummer 445.75 WHQL, zijn geschikt voor Windows 7 en hoger, en kunnen worden gebruikt op kaarten gebaseerd op de Kepler-architectuur of nieuwer. Deze uitgave bevat onder meer verbeteringen voor de spellen Minecraft RTX bèta, Call of Duty: Modern Warfare 2 Campaign Remastered, Saints Row: The Third Remastered en SnowRunner, en voegt verder diverse sli-profielen toe. De complete release notes staan hieronder: Game Ready for the Minecraft with RTX Beta<img src="" ~r/tweakers/mixed/~4/0N6n0rVEIj8"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51422,0.020000000000000007,608,83
12,VirtualBox 6.1.6,"Oracle heeft de derde update voor VirtualBox versie 6.1 uitgebracht. VirtualBox kan worden gebruikt om andere besturingssystemen in een virtuele omgeving op een computer te installeren. Op die manier is het mogelijk om verschillende besturingssystemen op dezelfde hardware naast elkaar en tegelijkertijd te gebruiken. VirtualBox is beschikbaar voor Windows, macOS, Linux en Solaris, en is in staat om diverse gastbesturingssystemen te draaien. De veranderingen die in versie 6.1.6 zijn aangebracht zijn hieronder voor je op een rijtje gezet:<img src="" ~r/tweakers/mixed/~4/CSyTCpKUh8A"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51420,0.0,615,83
13,Codemasters brengt F1 2020 op 10 juli uit,"Codemasters brengt op 10 juli een nieuwe officiële Formule 1-game uit. F1 2020 krijgt een nieuwe My Team-modus, waarin spelers als elfde team op de grid deelnemen aan het F1-kampioenschap. Ook bevat F1 2020 splitscreenondersteuning voor lokale multiplayer.<img src="" ~r/tweakers/mixed/~4/ytiHCuWHlfY"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165936,0.0,330,43
14,"Samsung kondigt Galaxy Tab S6 Lite met 10,4""-lcd aan","Samsung heeft de Galaxy Tab S6 Lite geplaatst op zijn website voor India. Het gaat om een midrangetablet met 10,4""-scherm en Exynos 9611-soc. Het scherm is een lcd en geen oledscherm zoals bij de duurdere Tab S6 van vorig jaar.<img src="" ~r/tweakers/mixed/~4/CY_i97A7Of0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165932,0.0,301,45
15,Be quiet brengt Pure Base 500DX-behuizing op 28 april uit,"Be quiet brengt op 28 april een luxere variant van de bestaande Pure Base 500-behuizing op de markt. Deze Pure Base 500DX-behuizing onderscheidt zich onder meer door een mesh-frontpaneel, dat tot een betere airflow moet leiden.<img src="" ~r/tweakers/mixed/~4/qkPkYssnUhQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165924,-0.2342857142857143,301,41
16,Openbaar aanklagers VS willen dat 3d-printontwerpen van vuurwapens offline gaan,"Zo'n 25 openbaar aanklagers in de Verenigde Staten roepen de regering van president Trump op om op treden tegen de verkoop van 3d-printontwerpen van vuurwapens op de website van een Amerikaanse organisatie genaamd Defense Distributed.<img src="" ~r/tweakers/mixed/~4/eAedh2Upj6M"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165906,0.0,308,40
17,Samsung brengt Galaxy M21 met 6000mAh-accu uit voor 219 euro,"Samsung heeft zijn Galaxy M21-smartphone uitgebracht in Nederland. Het toestel heeft een 6,4""-oledscherm, drie camera's aan de achterkant, een Exynos 9611-soc en een 6000mAh-accu. De Android-telefoon kost 219 euro.<img src="" ~r/tweakers/mixed/~4/Yj4gtKCznb8"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165922,0.0,288,34
18,Spelers van EA-games kunnen hinder ondervinden van ddos-aanvallen - update,"EA-games hebben al enkele dagen last van storingen, waarbij het onder meer gaat om Apex Legends en games uit de Battlefield- en FIFA-reeks. Het platform Origin is getroffen en dat geldt ook voor andere EA-diensten. Het bedrijf meldt last te hebben gehad van ddos-aanvallen.<img src="" ~r/tweakers/mixed/~4/xGBaDzM9NTQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165918,0.0,347,49
19,Huawei stapt over op Chinese halfgeleiderfabrikant SMIC voor levering 14nm-chips,"HiSilicon, een dochteronderneming van Huawei, heeft naar verluidt zijn 14nm-siliciumorders van TSMC naar het Chinese SMIC verplaatst. Dat melden bronnen van Digitimes. Ook zou het bedrijf minder 7nm- en 5nm-chips afnemen wegens gedaalde smartphoneverkopen.<img src="" ~r/tweakers/mixed/~4/1gvM9Zll1uo"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165920,0.0,330,39
20,ASML leverde in vorige kwartaal vier euv-machines en haalde relatief lage omzet,"ASML leverde in het eerste kwartaal van 2020 in totaal vier euv-machines aan zijn klanten. In dat kwartaal behaalde het Veldhovense bedrijf een lagere omzet dan werd verwacht, wat volgens ASML mede werd veroorzaakt door leveringsproblemen.<img src="" ~r/tweakers/mixed/~4/YSnDgHJvr2I"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165910,0.0,313,41
21,Silicon Power introduceert externe ssd van 80x80mm met dikte van 11mm,"Silicon Power heeft zijn draagbare PC60-ssd aangekondigd. Het gaat om een draagbare ssd met afmetingen van 80x80mm. De ssd is 11,2mm dik. De PC60 wordt geleverd met een opslagcapaciteit van maximaal 1,92TB. De adviesprijs is nog niet bekend.<img src="" ~r/tweakers/mixed/~4/Hy4ZYaMYTA8"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165914,0.0,315,43
22,Marktplaats merkte door storing duizenden gebruikers onterecht aan als fraudeur,"Marktplaats heeft sinds dinsdag te maken met een storing waardoor duizenden accounts geblokkeerd zijn en onterecht als fraudeur worden aangemerkt. Volgens de site komt de storing door een menselijke fout.<img src="" ~r/tweakers/mixed/~4/Dvc7AbQEnpw"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165916,0.0,278,35
23,Microsoft repareert met Windows 10-update zerodays die actief werden misbruikt,"Microsoft heeft tijdens de maandelijkse updatecyclus van Windows 10 onder andere twee kwetsbaarheden gerepareerd die actief werden uitgebuit door aanvallers. De zerodays maakten remote code executions en privilege escalations mogelijk.<img src="" ~r/tweakers/mixed/~4/i70RIe-usVk"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165904,-0.1,309,35
24,Een samenwerking uit nood - Hoe de corona-api van Google en Apple werkt,"Google en Apple kondigden aan om samen een api te ontwikkelen waarmee apps aan contactonderzoek voor bestrijding van het coronavirus kunnen doen. Hoe werkt die?<img src="" ~r/tweakers/mixed/~4/bS6fjtG1vvg"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/reviews/7800,0.0,234,30
25,Microsoft verlengt ondersteuning Windows 10 October 2018 Update,"Microsoft heeft de ondersteuning voor onder andere de Home- en Pro-versie van de Windows 10 October 2018 Update verlengd van 12 mei 2020 naar 10 november 2020. Volgens Microsoft moet dat helpen om stress bij klanten te verminderen.<img src="" ~r/tweakers/mixed/~4/qIOuZ67XyGg"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165902,0.0,305,43
26,Epic Games stelt volgende Fortnite-seizoen uit tot 4 juni,"Epic Games heeft seizoen 3 van Fortnite Chapter 2 uitgesteld tot 4 juni. Het seizoen zou in eerste instantie over twee weken uitkomen. De ontwikkelaar geeft geen reden voor het uitstel.<img src="" ~r/tweakers/mixed/~4/XyzkOycNvPc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165908,0.1,259,36
27,Yongnuo presenteert 50mm f/1.8-objectief voor Sony-camera's met aps-c-sensor,"De Chinese fabrikant Yongnuo voegt een 50mm f/1.8-objectief voor Sony E-camera's toe aan zijn assortiment. Het autofocusobjectief is geschikt voor camera's met een aps-c-sensor, zoals die uit de A6000-serie. Yongnuo maakte al versies voor dslr's van Canon en Nikon.<img src="" ~r/tweakers/mixed/~4/jklnSgJPTlA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165912,0.0,339,44
28,Keuringsorganisaties in Europa en VS komen met label voor lootboxes in games,"De Pan European Game Information, de Europese organisatie die belast is met het toekennen van leeftijdsclassificaties aan games, heeft een label of aanduiding voor 'willekeurige items' in games in het leven geroepen. Zijn Amerikaanse evenknie deed onlangs hetzelfde.<img src="" ~r/tweakers/mixed/~4/N2tn_uYPdAU"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165890,-0.2,340,43
29,Valve organiseert digitaal game-evenement tussen 9 en 14 juni,"Valve houdt in de zomer van dit jaar een Steam Game Festival, waar ontwikkelaars hun aankomende games digitaal kunnen tonen. Het evenement vindt plaats tussen 9 en 14 juni. Ontwikkelaars kunnen daar demo's van hun games uitbrengen en live-evenementen houden.<img src="" ~r/tweakers/mixed/~4/JBQCU13eFLs"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165900,-0.4,332,45
30,GitHub laat gebruikers onbeperkt privé-repo's aanmaken met nieuw prijsbeleid,"GitHub maakt al zijn functies gratis voor alle gebruikers. Ook gebruikers die nu een niet-betaald account hebben krijgen nu toegang tot onder andere onbeperkte privé-repo's, en teams kunnen een onbeperkt aantal leden toevoegen.<img src="" ~r/tweakers/mixed/~4/NMFF_syX2HA"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165898,0.0,301,38
31,CoD Warzone-spelers klagen over opnieuw verwijderen drieledige teams,"Spelers van het battle-royaleonderdeel Warzone van Call of Duty: Modern Warfare klagen volop dat Infinity Ward en Activision opnieuw de queue voor driekoppige teams hebben geschrapt. Dat gebeurde onlangs ook al, maar toen kwamen de makers daar snel op terug.<img src="" ~r/tweakers/mixed/~4/T3-IPoJKxJ0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165896,0.2,332,45
32,Nest verlaagt videokwaliteit van zijn camera's om bandbreedte te sparen,"Google gaat de videokwaliteit van zijn Nest Cams verlagen om bandbreedte te sparen. De aanpassing is door gebruikers ongedaan te maken en ze krijgen een melding in de Nest-app als de kwaliteitsinstellingen daadwerkelijk zijn aangepast.<img src="" ~r/tweakers/mixed/~4/uUnerTjhnoQ"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165892,0.0,309,40
33,Capture One 20.0.4,"Phase One heeft voor de paasdagen een update van Capture One uitgebracht met versienummer 20.0.4. Capture One is een fotobewerkingsprogramma en ondersteunt raw bestanden van de meeste digitale camera's. Het is beschikbaar in verschillende uitgaven: een standaarduitgave met ondersteuning voor meer dan vijfhonderd camera's, en Fujifilm- of Sony-uitgaven die alleen overweg kunnen met de camera's van Fujifilm of Sony. De prijs van deze twee laatste versies ligt onder die van de standaarduitgave. Voor meer informatie over de mogelijkheden van dit programma verwijzen we naar deze pagina. De aankondiging van 20.0.4 ziet er als volgt uit: New Camera Support<img src="" ~r/tweakers/mixed/~4/6podn9_wr78"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51416,-0.047202797202797214,731,103
34,SQL Server Management Studio 18.5,"Microsoft heeft versie 18.5 van SQL Server Management Studio, vaak afgekort tot SSMS, uitgebracht. Met SSMS kun je een Microsoft SQL-omgeving beheren, bijvoorbeeld een on-premise SQL Server, maar ook een Azure SQL Data Warehouse in de cloud. Het biedt tools voor de configuratie, monitoring en ingebruikname van de verschillende data-tiercomponenten. Daarnaast kun je queries en scripts in elkaar zetten. De bijbehorende aankondiging ziet er als volgt uit: What's new in 18.5<img src="" ~r/tweakers/mixed/~4/OIPXLRfvv4o"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51414,0.13636363636363635,549,76
35,Symfony 5.0.7 / 4.4.7 / 3.4.39,"Symfony is een php-webapplicatieframework en is beschikbaar onder de mit-licentie. Naast een framework en herbruikbare componenten biedt Symfony een filosofie, methodiek en community, ondersteund door SensioLabs. Op ons Forum zijn er ook verschillende topics over terug te vinden. De ontwikkelaars hebben even voor de paasdagen versies 5.0.7, 4.4.7 en 3.4.39 uitgebracht, met de volgende veranderingen: Symfony 5.0.7 released Symfony 5.0.7 has just been released. Here is a list of the most important changes:<img src="" ~r/tweakers/mixed/~4/h9coWTGxoJw"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51412,0.45,583,78
36,Go 1.14.2 / 1.13.10,"Go, ook aangeduid als golang, is een programmeertaal die sinds 2007 wordt ontwikkeld door Google en de opensourcegemeenschap. De taal wordt onder andere door CloudFlare, Google, Netflix en Uber gebruikt. Go-code kan worden gecompileerd voor Android, Linux, macOS, FreeBSD en Windows, op i386-, amd64- en ARM-processorarchitecturen. De syntax van Go is vergelijkbaar met die van C en soortgelijke programmeertalen, hoewel er ook enkele opvallende verschillen zijn. Ook biedt Go de mogelijkheid voor gedistribueerd programmeren, waarbij verschillende processen tegelijk worden uitgevoerd. Het team heeft Go versies 1.14.2 en 1.13.10 vrijgegeven met de volgende aanpassingen: go1.14.1 includes fixes to the go command, tools, and the runtime. go1.14.2 includes fixes to cgo, the go command, the runtime, os/exec, and testing packages. go1.13.7 includes two security fixes to the crypto/x509 package. go1.13.8 includes fixes to the runtime, the crypto/x509, and net/http packages. go1.13.9 includes fixes to the go command, tools, the runtime, the toolchain, and the crypto/cypher package. go1.13.10 includes fixes to the go command, the runtime, os/exec, and time packages.<img src="" ~r/tweakers/mixed/~4/3acHeccvge0"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51410,0.0,1244,172
37,PowerDNS Authoritative Server 4.2.2,"PowerDNS is een dns-server met een database als backend, waardoor het beheer van een groot aantal dns-entries op een gemakkelijke manier kan plaatsvinden. De ontwikkelaars hebben eerder besloten om de twee delen waaruit PowerDNS bestaat, een recursor en een authoritative nameserver, apart uit te geven, zodat ze sneller en gerichter een nieuwe versie kunnen uitbrengen, aldus de ontwikkelaars. De authoritative nameserver zal alleen antwoorden op een dns-look-up als hij betrekking heeft op de domeinen waarvoor hij verantwoordelijk is. De ontwikkelaars hebben PowerDNS Authoritative Server 4.2.2 uitgebracht met de volgende aankondiging: PowerDNS Authoritative Server 4.2.2 Released This release fixes issues in the IXFR receive code, improves cache management, and corrects a few other small things. If you use IXFR, please read the upgrade notes carefully. Please see the changelog for more details. The tarball (signature) is available at downloads.powerdns.com and packages for CentOS 6 and 7, 8, Debian Stretch and Buster, Ubuntu Xenial and Bionic are available from repo.powerdns.com. Please send us all feedback and issues you might have via the mailing list, or in case of a bug, via GitHub.<img src="" ~r/tweakers/mixed/~4/s7Vzw1UG7oo"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51408,0.1659090909090909,1275,185
38,Apache Tomcat 10.0.0-M4 / 9.0.34 / 8.5.54,"Apache Tomcat is een Webcontainer die is ontwikkeld door de Apache Software Foundation. Tomcat voert Java Servlets en JavaServer Pages uit, en biedt een http-webomgeving aan waarop Java-code direct kan worden gedraaid. Voor meer informatie verwijzen we naar deze pagina. De ontwikkelaars hebben versies 10.0.0-M4, 9.0.34 en 8.5.54 uitgebracht, voorzien van de volgende aankondigingen: Tomcat 10.0.0-M4 Released The Apache Tomcat Project is proud to announce the release of version 10.0.0-M4 of Apache Tomcat. This release is a milestone release and is targeted at Jakarta EE 9. Users of Tomcat 10 onwards should be aware that, as a result of the move from Java EE to Jakarta EE as part of the transfer of Java EE to the Eclipse Foundation, the primary package for all implemented APIs has changed from javax.* to jakarta.*. This will almost certainly require code changes to enable applications to migrate from Tomcat 9 and earlier to Tomcat 10 and later. A migration tool is under development to aid this process. The notable changes in this release are:<img src="" ~r/tweakers/mixed/~4/NNYWJyUjz1o"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/downloads/51406,0.2830357142857143,1129,176
39,Wear OS-smartwatches geven gebruiker periodiek waarschuwing handen te wassen,"Smartwatches met Googles Wear OS als besturingssysteem hebben een update ontvangen waarmee gebruikers elke paar uur een melding krijgen met een oproep om hun handen met zeep te wassen.<img src="" ~r/tweakers/mixed/~4/oYAB-GGA5Jc"" height=""1"" width=""1"" alt=""""/>",https://tweakers.net/nieuws/165894,0.0,258,34
0,"
                650 miljoen voor landbouwbedrijven in nood door coronacrisis
                            ",Extra steunpakket kabinet,https://www.rtlnieuws.nl/nieuws/politiek/artikel/5092061/650-miljoen-extra-steun-voor-landbouwbedrijven-nood-door,0.0,25,3
1,"
                Oproep: speel zelf het volkslied op Koningsdag
                            ",Wilhelmus vanaf balkons,https://www.rtlnieuws.nl/nieuws/video/video/5092056/oproep-volkslied-koningsdag-wilhelmus-muziek-corona,0.0,23,3
