,titles,descriptions,links,yogunlasma,harf_uzunlugu,kelime_sayisi
3,Bekijk hier de persconferentie over de stand van zaken van de coronacrisis,Premier Rutte en minister De Jonge geven een persconferentie na het crisisoverleg van het kabinet. De persconferentie is te volgen op deze kanalen.,https://www.nos.nl/artikel/2330583-bekijk-hier-de-persconferentie-over-de-stand-van-zaken-van-de-coronacrisis.html,0.0,147,23
4,"Belgen vinden Nederlandse corona-aanpak laks, maar cijfers zijn niet beter",De trend in ziekenhuisopnames in Nederland en België ziet er in grote lijnen hetzelfde uit. Toch zijn de maatregelen in België strenger. Hoe kan dat? ,https://www.nos.nl/artikel/2330579-belgen-vinden-nederlandse-corona-aanpak-laks-maar-cijfers-zijn-niet-beter.html,0.0,150,25
5,"Nederland krijgt toezegging voor 2,7 miljoen testen, maar is het genoeg?",Als de materialen daadwerkelijk geleverd worden kunnen daarmee de komende zes maanden bijna 14.000 testen per dag worden gedaan.,https://www.nos.nl/artikel/2330578-nederland-krijgt-toezegging-voor-2-7-miljoen-testen-maar-is-het-genoeg.html,0.0,128,19
6,'Service en persoonlijk contact met treinreizigers zijn in een klap weg',"De NOS volgt mensen die werken in vitale beroepen tijdens de coronacrisis. Vandaag Thurstan Saridjo, hoofdconducteur bij de NS.",https://www.nos.nl/artikel/2330566-service-en-persoonlijk-contact-met-treinreizigers-zijn-in-een-klap-weg.html,0.0,127,19
7,Coronacijfers van 15 april: 1 op 5 IC-patiënten inmiddels overleden,Van alle ruim 2500 coronapatienten die zijn opgenomen op de intensive care ligt ongeveer de helft er nog. Een vijfde is inmiddels overleden. ,https://www.nos.nl/artikel/2330553-coronacijfers-van-15-april-1-op-5-ic-patienten-inmiddels-overleden.html,0.0,141,23
8,Tientallen tips over brandstichter zendmast Groningen,Beelden van de man waren gisteravond te zien in het tv-programma Opsporing Verzocht.,https://www.nos.nl/artikel/2330551-tientallen-tips-over-brandstichter-zendmast-groningen.html,0.0,84,13
9,Effecten coronamaatregelen mogelijk tot 2025 merkbaar op de weg,"Hoe langer de coronacrisis duurt, hoe meer effect die zal hebben op het wegverkeer in Nederland, verwacht het Kennisinstituut voor Mobiliteitsbeleid.",https://www.nos.nl/artikel/2330546-effecten-coronamaatregelen-mogelijk-tot-2025-merkbaar-op-de-weg.html,0.0,149,21
10,Deze vloggers vertellen over leven met een beperking in coronatijd,Jongeren met een beperking hebben door de coronacrisis weinig contact met de buitenwereld. Daarom is er voor hen nu een speciaal platform waarop ze kunnen vloggen.,https://www.nos.nl/artikel/2330545-deze-vloggers-vertellen-over-leven-met-een-beperking-in-coronatijd.html,0.0,163,26
11,'Mijn collega ligt hier nu zelf op de IC. Dat sloeg echt in als een bom' ,"De NOS volgt zorgmedewerkers die werken in de frontlinie van de coronacrisis. Vandaag Frans Kremers, IC-verpleegkundige in het Catharina Ziekenhuis in Eindhoven.",https://www.nos.nl/artikel/2330534-mijn-collega-ligt-hier-nu-zelf-op-de-ic-dat-sloeg-echt-in-als-een-bom.html,0.0,161,22
12,"Kernenergie kan helpen bij aanpak klimaat, maar dat gaat wel wat kosten",Het bouwen van een nieuwe kerncentrale is duurder dan zonne- en windenergie. Tenzij de overheid garant staat voor de financiële risico's en kernenergie voorrang krijgt op het elektriciteitsnet.,https://www.nos.nl/artikel/2330528-kernenergie-kan-helpen-bij-aanpak-klimaat-maar-dat-gaat-wel-wat-kosten.html,0.0,193,28
13,Veel meer twintigers en dertigers omgekomen bij verkeersongelukken,De meeste slachtoffers zaten in een auto. Het totaal aantal verkeersdoden daalde vorig jaar juist.,https://www.nos.nl/artikel/2330523-veel-meer-twintigers-en-dertigers-omgekomen-bij-verkeersongelukken.html,0.0,98,15
14,Wekdienst 15/4: Persconferentie kabinet over coronamaatregelen • Verkiezingen in Zuid-Korea,"Nieuws, weer, verkeer: met dit overzicht begin je geïnformeerd aan de dag.",https://www.nos.nl/artikel/2330512-wekdienst-15-4-persconferentie-kabinet-over-coronamaatregelen-verkiezingen-in-zuid-korea.html,0.0,74,12
15,Huurders niet duurder uit met warmtenet in plaats van gas,De eerste 100.000 huizen gaan versneld van het gas af. Woningcorporaties en warmtebedrijven garanderen dat de operatie kostenneutraal is voor de huurders.,https://www.nos.nl/artikel/2330510-huurders-niet-duurder-uit-met-warmtenet-in-plaats-van-gas.html,0.0,154,22
16,Huidige pandemie zit tentoonstelling over epidemieën in de weg,Twee jaar was er aan de tentoonstelling gewerkt. Nu gaat hij niet door wegens een heersende pandemie. De ironie ontgaat museumdirecteur Haarhuis niet.,https://www.nos.nl/artikel/2330509-huidige-pandemie-zit-tentoonstelling-over-epidemieen-in-de-weg.html,0.0,150,23
17,Corona maakt van Koningsdag dit jaar Woningsdag,Samen thuis het Wilhelmus zingen en om vier uur met zijn allen een toost op de koning uitbrengen. ,https://www.nos.nl/artikel/2330500-corona-maakt-van-koningsdag-dit-jaar-woningsdag.html,0.0,98,18
18,Duizenden gebruikers Marktplaats geraakt door storing,Gebruikers zeggen dat ze ten onrechte zijn geblokkeerd en als fraudeurs aangemerkt. ,https://www.nos.nl/artikel/2330498-duizenden-gebruikers-marktplaats-geraakt-door-storing.html,0.0,84,12
19,"Twee veroordeelde moordenaars uit Breda spoorloos, politie vraagt tips","Vorige week donderdag werden ze veroordeeld tot 20 jaar gevangenisstraf, maar nu zijn ze niet meer te vinden.",https://www.nos.nl/artikel/2330496-twee-veroordeelde-moordenaars-uit-breda-spoorloos-politie-vraagt-tips.html,0.0,109,18
20,Meer dan 25.000 coronadoden in VS • Bonden: trein alleen voor cruciale beroepen,Lees hier al het coronanieuws van dinsdag 14 april.,https://www.nos.nl/liveblog/2330400-meer-dan-25-000-coronadoden-in-vs-bonden-trein-alleen-voor-cruciale-beroepen.html,0.0,51,9
21,Dader brandstichting zendmast Groningen vastgelegd op bewakingsbeelden,Op de beelden is te zien dat een man vloeistof uit een jerrycan aan de voet van de mast giet en er vervolgens brand ontstaat. ,https://www.nos.nl/artikel/2330489-dader-brandstichting-zendmast-groningen-vastgelegd-op-bewakingsbeelden.html,0.0,126,25
22,"Zij gingen terug naar de zorg, 'Ik moest en zou helpen in de crisis'",De coronacrisis betekent dat er extra zorgpersoneel nodig is. Veel voormalige zorgmedewerkers hebben zich daarom gemeld. De NOS sprak met twee van hen. ,https://www.nos.nl/artikel/2330487-zij-gingen-terug-naar-de-zorg-ik-moest-en-zou-helpen-in-de-crisis.html,0.0,152,23
23,Heeft een coronatest bij een representatief deel van de bevolking nut?,"Kenners verschillen daarover van mening. Sommigen willen dolgraag meer inzicht in de verspreiding van het virus, anderen denken dat zo'n steekproef daarvoor niet het juiste middel is.",https://www.nos.nl/artikel/2330484-heeft-een-coronatest-bij-een-representatief-deel-van-de-bevolking-nut.html,0.0,183,27
24,Toch zes Nederlanders onderweg vanuit Marokko,"Tot nu toe weigerde Rabat Nederlanders te laten vertrekken, vanwege de corona-uitbraak. Nu mogen enkele schrijnende gevallen toch weg.",https://www.nos.nl/artikel/2330481-toch-zes-nederlanders-onderweg-vanuit-marokko.html,0.0,134,19
0,"Noodkreet: ‘1,5 metereconomie onwerkbaar voor horeca’","Horecabedrijven stellen dat de 1,5 metereconomie zoals voorgesteld door premier Rutte onwerkbaar is. Daarvoor waarschuwt Koninklijke Horeca Nederland (KHN). De brancheorganisatie wijst erop dat het voor flink wat bedrijven onmogelijk is om binnen de voorwaarden rendabel te kunnen zijn.",https://www.ad.nl/binnenland/noodkreet-1-5-metereconomie-onwerkbaar-voor-horeca~a57f11f3/,0.0,286,39
