,titles,descriptions,links
0,Voor weduwe Karin is ’Soldaat van Oranje’ Erik nooit weggegaan,"Ze heeft hem al dertien jaar overleefd, maar nóg staat het leven van Karin in het teken van de man met wie ze tweeënveertig jaar was getrouwd: ’Soldaat van Oranje’ Erik Hazelhoff Roelfzema, de legendarische oorlogsheld uit de Tweede Wereldoorlog, Engelandvaarder, adjudant van koningin Wilhelmina en ...",https://www.telegraaf.nl/nieuws/377999117/voor-weduwe-karin-is-soldaat-van-oranje-erik-nooit-weggegaan
1,Politie Waddinxveen beschoten met luchtbuks,Politie Waddinxveen beschoten met luchtbuks,https://www.telegraaf.nl/nieuws/73951232/politie-waddinxveen-beschoten-met-luchtbuks
2,"Stel hoopt op romantische zonsondergang, komt vast te zitten op strand","Stel hoopt op romantische zonsondergang, komt vast te zitten op strand",https://www.telegraaf.nl/nieuws/47507624/stel-hoopt-op-romantische-zonsondergang-komt-vast-te-zitten-op-strand
3,"Jongeren vluchten voor politie, ’huissleutels ophalen op het bureau’","Een groep jongeren die zich niet aan de coronaregels wilde houden en zaterdagavond rustig bier zat te drinken op de Flevolaan in Huizen, zette het op een rennen toen ze een aantal agenten zagen. Ze hoopten er ongestraft mee weg te komen, maar de politie heeft nu toch een aantal troeven in handen.",https://www.telegraaf.nl/nieuws/1744908825/jongeren-vluchten-voor-politie-huissleutels-ophalen-op-het-bureau
4,Mannen gepakt op A12 met 229.850 euro verstopt in auto,"Twee mannen met valse identiteitsbewijzen en 229.850 euro bij zich zijn zaterdag opgepakt op de A12 bij Babberich. Ze worden verdacht van witwassen en identiteitsfraude, meldt de marechaussee.",https://www.telegraaf.nl/nieuws/639340020/mannen-gepakt-op-a12-met-229-850-euro-verstopt-in-auto
5,Verspreid door Utrecht 25 boetes in parken uitgedeeld,Voor tientallen Utrechtse zonaanbidders was hun gezellige uitje zaterdag een dure grap. In verschillende parken werden opgeteld maar liefst 25 boetes (à 390) euro uitgedeeld vanwege overtredingen van het samenscholingsverbod.,https://www.telegraaf.nl/nieuws/11604056/verspreid-door-utrecht-25-boetes-in-parken-uitgedeeld
6,Bredanaar botst op voorgevels met tank lachgas in auto,Bredanaar botst op voorgevels met tank lachgas in auto,https://www.telegraaf.nl/nieuws/951210628/bredanaar-botst-op-voorgevels-met-tank-lachgas-in-auto
7,Nathan (13) uit Geldermalsen weer terecht,"De 13-jarige Nathan uit Geldermalsen is weer terecht. De jongen werd sinds 9 april vermist. Hij vertrok die dag op de fiets bij zijn ouderlijk huis, maar daarna werd er niets meer van hem vernomen.",https://www.telegraaf.nl/nieuws/1943086014/nathan-13-uit-geldermalsen-weer-terecht
8,Auto botst op lichtmast en boom tijdens achtervolging Tilburg,Een auto is zondagochtend vroeg in Tilburg tijdens een politieachtervolging tegen een lichtmast en een boom gebotst en daarna in brand gevlogen. Agenten konden de 34-jarige bestuurder en een even oude bijrijder uit het brandende voertuig trekken. Het tweetal is voor behandeling naar een ziekenhuis o...,https://www.telegraaf.nl/nieuws/1450008939/auto-botst-op-lichtmast-en-boom-tijdens-achtervolging-tilburg
9,Scholen straks weer open? Dit kan Nederland leren van China,"Miljoenen Chinese kinderen mogen eind deze maand weer naar school. De terugkeer naar de schoolbanken gaat in China in stappen, zodat scholen niet in één keer vol zitten en dus het risico op virusbrandhaarden in de klaslokalen minimaal blijft.",https://www.telegraaf.nl/nieuws/697855415/scholen-straks-weer-open-dit-kan-nederland-leren-van-china
10,Oproep Veiligheidsregio: kom niet naar de bollen,"Kom niet naar de bollen. Die oproep doet Veiligheidsregio Hollands Midden zondagochtend, nadat het zaterdag veel te druk was in de bollenstreek. „We kunnen het niet mooier maken dan het is; kom gewoon NIET naar de bollen”, twittert de Veiligheidsregio.",https://www.telegraaf.nl/nieuws/56638526/oproep-veiligheidsregio-kom-niet-naar-de-bollen
11,’Duo met doorgeladen vuurwapen Schiphol had geen terroristisch oogmerk’,De twee mannen die zaterdagavond in een trein op Schiphol werden aangehouden met een doorgeladen vuurwapen hadden geen terreurplannen. De marechaussee meldt zondagochtend niet uit te gaan van een terroristisch oogmerk. Naar het motief van de mannen wordt nog onderzoek gedaan.,https://www.telegraaf.nl/nieuws/1982331368/duo-met-doorgeladen-vuurwapen-schiphol-had-geen-terroristisch-oogmerk
